Date,Description,Amount,Transaction Type,Category,Account Name
01-01-2020,Rent/ Mortgage,1400,debit,Mortgage & Rent,Savings
01-01-2020,Eversource Electricity,58.91,debit,Utilities,Checking
01-01-2020,National Grid Gas,77.52,debit,Utilities,Checking
01-01-2020,Heating fuel,249.72,debit,Utilities,Checking
01-01-2020,MBTA,18.33,debit,Travel expenses,Credit Card
01-01-2020,AMC Boston,59.78,debit,Entertainment,Credit Card
01-01-2020,Temu,70,debit,Shopping,Credit Card
01-01-2020,Mama-cita,76.19,debit,Restaurants,Credit Card
01-02-2020,Karaoke,37.89,debit,Entertainment,Credit Card
01-03-2020,Amazon,41.39,debit,Shopping,Credit Card
01-03-2020,Temu,37.43,debit,Shopping,Credit Card
01-03-2020,Lyft,10.59,debit,Travel expenses,Credit Card
01-04-2020,StandUp show,41.06,debit,Entertainment,Credit Card
01-04-2020,Mall,39.81,debit,Shopping,Credit Card
01-04-2020,Amazon,58.88,debit,Shopping,Credit Card
01-04-2020,Boston Shawarma,68.36,debit,Restaurants,Credit Card
01-04-2020,Karaoke,63.47,debit,Entertainment,Credit Card
01-05-2020,Lyft,15.43,debit,Travel expenses,Credit Card
01-05-2020,MBTA,28.06,debit,Travel expenses,Credit Card
01-05-2020,Mall,20.51,debit,Shopping,Credit Card
01-05-2020,Ice skating,52.32,debit,Entertainment,Credit Card
01-06-2020,Credit Transaction,7.31,credit,Cashback Rewards,Savings
01-06-2020,Ice skating,32.28,debit,Entertainment,Credit Card
01-06-2020,Amazon,53.62,debit,Shopping,Credit Card
01-06-2020,Credit Transaction,16.54,credit,Cashback Rewards,Savings
01-07-2020,Stop and Shop,173.76,debit,Grocery shopping,Credit Card
01-08-2020,AMC Boston,45.33,debit,Entertainment,Credit Card
01-08-2020,MBTA,18.97,debit,Travel expenses,Credit Card
01-08-2020,Mama-cita,30.7,debit,Restaurants,Credit Card
01-08-2020,Boston Shawarma,79.05,debit,Restaurants,Credit Card
01-08-2020,Lyft,26.81,debit,Travel expenses,Credit Card
01-08-2020,Ice skating,20.26,debit,Entertainment,Credit Card
01-08-2020,Uber,24.29,debit,Travel expenses,Credit Card
01-09-2020,Boston Shawarma,39.37,debit,Restaurants,Credit Card
01-09-2020,Trader Joes,178.59,debit,Grocery shopping,Credit Card
01-09-2020,Temu,41.7,debit,Shopping,Credit Card
01-09-2020,Uber,23.9,debit,Travel expenses,Credit Card
01-10-2020,Trader Joes,232.4,debit,Grocery shopping,Credit Card
01-10-2020,Uber,11.91,debit,Travel expenses,Credit Card
01-11-2020,Ace Hardware,173.05,debit,Grocery shopping,Credit Card
01-11-2020,Boston Shawarma,55.55,debit,Restaurants,Credit Card
01-11-2020,Trader Joes,208.42,debit,Grocery shopping,Credit Card
01-12-2020,Karaoke,23.45,debit,Entertainment,Credit Card
01-13-2020,Dominos,49.3,debit,Restaurants,Credit Card
01-13-2020,StandUp show,22.18,debit,Entertainment,Credit Card
01-13-2020,Credit Transaction,8.5,credit,Cashback Rewards,Savings
01-13-2020,Monthly direct deposit - Salary,6000,credit,Salary,Savings
01-14-2020,StandUp show,27.79,debit,Entertainment,Credit Card
01-14-2020,Mama-cita,37.91,debit,Restaurants,Credit Card
01-14-2020,Lyft,19.21,debit,Travel expenses,Credit Card
01-15-2020,Uber,11.01,debit,Travel expenses,Credit Card
01-15-2020,Karaoke,26.45,debit,Entertainment,Credit Card
01-15-2020,Stop and Shop,198.27,debit,Grocery shopping,Credit Card
01-15-2020,MBTA,23.85,debit,Travel expenses,Credit Card
01-16-2020,Stop and Shop,210.05,debit,Grocery shopping,Credit Card
01-16-2020,MBTA,13.79,debit,Travel expenses,Credit Card
01-16-2020,Lyft,17.28,debit,Travel expenses,Credit Card
01-17-2020,Trader Joes,220.74,debit,Grocery shopping,Credit Card
01-17-2020,MBTA,22.94,debit,Travel expenses,Credit Card
01-17-2020,Market Basket,171.46,debit,Grocery shopping,Credit Card
01-18-2020,Temu,68.46,debit,Shopping,Credit Card
01-19-2020,Credit Transaction,152.51,credit,Dividends,Savings
01-19-2020,Ice skating,45.15,debit,Entertainment,Credit Card
01-20-2020,MBTA,15.06,debit,Travel expenses,Credit Card
01-20-2020,Trader Joes,238.13,debit,Grocery shopping,Credit Card
01-20-2020,Stop and Shop,190.2,debit,Grocery shopping,Credit Card
01-20-2020,Credit Transaction,3.33,credit,Cashback Rewards,Savings
01-22-2020,Credit Transaction,18.75,credit,Cashback Rewards,Savings
01-22-2020,Amazon,40.48,debit,Shopping,Credit Card
01-23-2020,Dominos,55.78,debit,Restaurants,Credit Card
01-24-2020,MBTA,11.89,debit,Travel expenses,Credit Card
01-24-2020,Amazon,45.74,debit,Shopping,Credit Card
01-24-2020,AMC Boston,23.94,debit,Entertainment,Credit Card
01-24-2020,Lyft,19.08,debit,Travel expenses,Credit Card
01-25-2020,Boston Halal,68.91,debit,Restaurants,Credit Card
01-26-2020,Ice skating,43.73,debit,Entertainment,Credit Card
01-26-2020,Ace Hardware,228.29,debit,Grocery shopping,Credit Card
01-26-2020,StandUp show,69.36,debit,Entertainment,Credit Card
01-26-2020,Mama-cita,40.56,debit,Restaurants,Credit Card
01-26-2020,Trader Joes,166.58,debit,Grocery shopping,Credit Card
01-26-2020,Stop and Shop,168.43,debit,Grocery shopping,Credit Card
01-26-2020,Market Basket,160.22,debit,Grocery shopping,Credit Card
01-27-2020,Mall,52.97,debit,Shopping,Credit Card
01-27-2020,Market Basket,161.08,debit,Grocery shopping,Credit Card
01-27-2020,Ice skating,49.4,debit,Entertainment,Credit Card
01-28-2020,Ace Hardware,171.76,debit,Grocery shopping,Credit Card
01-28-2020,MBTA,16.52,debit,Travel expenses,Credit Card
01-28-2020,Ice skating,68.84,debit,Entertainment,Credit Card
01-28-2020,Mall,30.2,debit,Shopping,Credit Card
01-28-2020,Market Basket,234.23,debit,Grocery shopping,Credit Card
01-29-2020,Karaoke,51.35,debit,Entertainment,Credit Card
01-29-2020,Ice skating,37.08,debit,Entertainment,Credit Card
01-29-2020,Trader Joes,193.59,debit,Grocery shopping,Credit Card
01-29-2020,Mama-cita,28.29,debit,Restaurants,Credit Card
01-30-2020,Credit Transaction,140.1,credit,Dividends,Savings
01-30-2020,Mama-cita,46.85,debit,Restaurants,Credit Card
01-30-2020,AMC Boston,62.23,debit,Entertainment,Credit Card
01-30-2020,Dominos,56.58,debit,Restaurants,Credit Card
01-31-2020,Boston Halal,36.36,debit,Restaurants,Credit Card
01-31-2020,MBTA,28.94,debit,Travel expenses,Credit Card
01-31-2020,Amazon,63.41,debit,Shopping,Credit Card
02-01-2020,Market Basket,243.75,debit,Grocery shopping,Credit Card
02-01-2020,Trader Joes,192.66,debit,Grocery shopping,Credit Card
02-01-2020,Karaoke,45.8,debit,Entertainment,Credit Card
02-01-2020,MBTA,29.16,debit,Travel expenses,Credit Card
02-01-2020,Uber,19.96,debit,Travel expenses,Credit Card
02-01-2020,Ace Hardware,226.04,debit,Grocery shopping,Credit Card
02-01-2020,Stop and Shop,238.04,debit,Grocery shopping,Credit Card
02-01-2020,Eversource Electricity,59.12,debit,Utilities,Checking
02-01-2020,Rent/ Mortgage,1400,debit,Mortgage & Rent,Savings
02-01-2020,National Grid Gas,67.67,debit,Utilities,Checking
02-01-2020,Heating fuel,225.87,debit,Utilities,Checking
02-02-2020,Amazon,62.34,debit,Shopping,Credit Card
02-02-2020,Temu,71.21,debit,Shopping,Credit Card
02-02-2020,Ace Hardware,247.55,debit,Grocery shopping,Credit Card
02-02-2020,Dominos,78.68,debit,Restaurants,Credit Card
02-02-2020,Karaoke,32.43,debit,Entertainment,Credit Card
02-03-2020,Boston Halal,43.72,debit,Restaurants,Credit Card
02-03-2020,Mall,40.83,debit,Shopping,Credit Card
02-03-2020,Credit Transaction,13.45,credit,Cashback Rewards,Savings
02-04-2020,Stop and Shop,184.53,debit,Grocery shopping,Credit Card
02-04-2020,Uber,16.17,debit,Travel expenses,Credit Card
02-04-2020,Karaoke,66.71,debit,Entertainment,Credit Card
02-05-2020,Mall,33.55,debit,Shopping,Credit Card
02-05-2020,Trader Joes,171.26,debit,Grocery shopping,Credit Card
02-05-2020,Stop and Shop,223.03,debit,Grocery shopping,Credit Card
02-05-2020,Ace Hardware,156.55,debit,Grocery shopping,Credit Card
02-05-2020,Dominos,61.18,debit,Restaurants,Credit Card
02-06-2020,Ice skating,63.53,debit,Entertainment,Credit Card
02-06-2020,Amazon,27.3,debit,Shopping,Credit Card
02-06-2020,Credit Transaction,19.83,credit,Cashback Rewards,Savings
02-06-2020,Temu,47.2,debit,Shopping,Credit Card
02-06-2020,Mall,58.84,debit,Shopping,Credit Card
02-06-2020,Boston Halal,41.05,debit,Restaurants,Credit Card
02-07-2020,Mall,28.67,debit,Shopping,Credit Card
02-07-2020,Temu,42.88,debit,Shopping,Credit Card
02-07-2020,Lyft,21.8,debit,Travel expenses,Credit Card
02-07-2020,Boston Shawarma,35.62,debit,Restaurants,Credit Card
02-08-2020,Dominos,37.69,debit,Restaurants,Credit Card
02-08-2020,Boston Shawarma,35.01,debit,Restaurants,Credit Card
02-08-2020,Karaoke,26.17,debit,Entertainment,Credit Card
02-08-2020,Trader Joes,161.96,debit,Grocery shopping,Credit Card
02-08-2020,Temu,47.06,debit,Shopping,Credit Card
02-10-2020,Dominos,29.73,debit,Restaurants,Credit Card
