Date,Description,Amount,Transaction Type,Category,Account Name
01-01-2020,Boston Shawarma,51.15,debit,Restaurants,Credit Card
01-01-2020,Rent/ Mortgage,1400.0,debit,Mortgage & Rent,Savings
01-01-2020,Eversource Electricity,69.02,debit,Utilities,Checking
01-01-2020,National Grid Gas,74.5,debit,Utilities,Checking
01-01-2020,Heating fuel,181.51,debit,Utilities,Checking
01-02-2020,Lyft,27.73,debit,Travel expenses,Credit Card
01-02-2020,Ace Hardware,186.82,debit,Grocery shopping,Credit Card
01-02-2020,Boston Halal,75.28,debit,Restaurants,Credit Card
01-02-2020,Amazon,34.16,debit,Shopping,Credit Card
01-02-2020,Market Basket,222.59,debit,Grocery shopping,Credit Card
01-03-2020,Stop and Shop,212.38,debit,Grocery shopping,Credit Card
01-03-2020,Trader Joes,211.61,debit,Grocery shopping,Credit Card
01-04-2020,Market Basket,230.37,debit,Grocery shopping,Credit Card
01-04-2020,Boston Shawarma,75.45,debit,Restaurants,Credit Card
01-05-2020,AMC Boston,31.8,debit,Entertainment,Credit Card
01-05-2020,Mama-cita,78.97,debit,Restaurants,Credit Card
01-05-2020,Credit Transaction,19.35,credit,Cashback Rewards,Savings
01-05-2020,Stop and Shop,218.18,debit,Grocery shopping,Credit Card
01-05-2020,Market Basket,171.55,debit,Grocery shopping,Credit Card
01-05-2020,Ace Hardware,200.67,debit,Grocery shopping,Credit Card
01-06-2020,Market Basket,236.15,debit,Grocery shopping,Credit Card
01-06-2020,Karaoke,29.63,debit,Entertainment,Credit Card
01-06-2020,Stop and Shop,189.26,debit,Grocery shopping,Credit Card
01-06-2020,Temu,79.62,debit,Shopping,Credit Card
01-07-2020,Credit Transaction,14.17,credit,Cashback Rewards,Savings
01-07-2020,Lyft,22.3,debit,Travel expenses,Credit Card
01-07-2020,Market Basket,211.79,debit,Grocery shopping,Credit Card
01-07-2020,Uber,11.75,debit,Travel expenses,Credit Card
01-07-2020,AMC Boston,21.86,debit,Entertainment,Credit Card
01-08-2020,Boston Shawarma,60.65,debit,Restaurants,Credit Card
01-08-2020,Mall,36.15,debit,Shopping,Credit Card
01-09-2020,Temu,53.37,debit,Shopping,Credit Card
01-09-2020,Uber,27.75,debit,Travel expenses,Credit Card
01-09-2020,Credit Transaction,118.24,credit,Dividends,Savings
01-10-2020,Mall,42.95,debit,Shopping,Credit Card
01-10-2020,Uber,13.55,debit,Travel expenses,Credit Card
01-10-2020,Trader Joes,210.87,debit,Grocery shopping,Credit Card
01-11-2020,Stop and Shop,218.95,debit,Grocery shopping,Credit Card
01-12-2020,Lyft,12.2,debit,Travel expenses,Credit Card
01-12-2020,Uber,13.52,debit,Travel expenses,Credit Card
01-12-2020,Dominos,71.97,debit,Restaurants,Credit Card
01-13-2020,Lyft,21.23,debit,Travel expenses,Credit Card
01-13-2020,Stop and Shop,183.98,debit,Grocery shopping,Credit Card
01-13-2020,Monthly direct deposit - Salary,6000.0,credit,Salary,Savings
01-13-2020,Market Basket,158.65,debit,Grocery shopping,Credit Card
01-13-2020,Ace Hardware,156.04,debit,Grocery shopping,Credit Card
01-14-2020,Boston Halal,33.69,debit,Restaurants,Credit Card
01-14-2020,Mama-cita,48.69,debit,Restaurants,Credit Card
01-15-2020,Trader Joes,200.73,debit,Grocery shopping,Credit Card
01-15-2020,Market Basket,246.69,debit,Grocery shopping,Credit Card
01-15-2020,Ice skating,55.12,debit,Entertainment,Credit Card
01-16-2020,Boston Shawarma,79.13,debit,Restaurants,Credit Card
01-16-2020,StandUp show,68.64,debit,Entertainment,Credit Card
01-16-2020,Ice skating,54.23,debit,Entertainment,Credit Card
01-16-2020,Market Basket,190.0,debit,Grocery shopping,Credit Card
01-16-2020,Uber,12.43,debit,Travel expenses,Credit Card
01-16-2020,Boston Halal,26.9,debit,Restaurants,Credit Card
01-17-2020,Lyft,10.87,debit,Travel expenses,Credit Card
01-18-2020,Trader Joes,196.22,debit,Grocery shopping,Credit Card
01-18-2020,Market Basket,246.05,debit,Grocery shopping,Credit Card
01-19-2020,Boston Shawarma,51.93,debit,Restaurants,Credit Card
01-19-2020,Stop and Shop,248.51,debit,Grocery shopping,Credit Card
01-19-2020,Boston Halal,50.38,debit,Restaurants,Credit Card
01-19-2020,Trader Joes,220.12,debit,Grocery shopping,Credit Card
01-20-2020,Market Basket,179.2,debit,Grocery shopping,Credit Card
01-21-2020,Trader Joes,248.31,debit,Grocery shopping,Credit Card
01-21-2020,Stop and Shop,177.02,debit,Grocery shopping,Credit Card
01-22-2020,AMC Boston,20.76,debit,Entertainment,Credit Card
01-22-2020,Uber,13.46,debit,Travel expenses,Credit Card
01-23-2020,Ace Hardware,156.85,debit,Grocery shopping,Credit Card
01-23-2020,Trader Joes,230.51,debit,Grocery shopping,Credit Card
01-24-2020,AMC Boston,40.29,debit,Entertainment,Credit Card
01-24-2020,StandUp show,49.18,debit,Entertainment,Credit Card
01-24-2020,MBTA,18.39,debit,Travel expenses,Credit Card
01-24-2020,Ace Hardware,204.97,debit,Grocery shopping,Credit Card
01-25-2020,Ace Hardware,197.79,debit,Grocery shopping,Credit Card
01-25-2020,Amazon,67.82,debit,Shopping,Credit Card
01-25-2020,Mama-cita,74.63,debit,Restaurants,Credit Card
01-25-2020,Market Basket,216.69,debit,Grocery shopping,Credit Card
01-25-2020,Credit Transaction,7.2,credit,Cashback Rewards,Savings
01-26-2020,Trader Joes,154.91,debit,Grocery shopping,Credit Card
01-26-2020,Ace Hardware,246.31,debit,Grocery shopping,Credit Card
01-26-2020,Mall,70.1,debit,Shopping,Credit Card
01-26-2020,Uber,10.57,debit,Travel expenses,Credit Card
01-27-2020,Market Basket,171.2,debit,Grocery shopping,Credit Card
01-27-2020,AMC Boston,38.0,debit,Entertainment,Credit Card
01-27-2020,Ice skating,52.39,debit,Entertainment,Credit Card
01-28-2020,Stop and Shop,242.84,debit,Grocery shopping,Credit Card
01-28-2020,Trader Joes,196.73,debit,Grocery shopping,Credit Card
01-28-2020,Ace Hardware,162.75,debit,Grocery shopping,Credit Card
01-29-2020,Uber,15.65,debit,Travel expenses,Credit Card
01-29-2020,Lyft,13.06,debit,Travel expenses,Credit Card
01-29-2020,Dominos,38.23,debit,Restaurants,Credit Card
01-30-2020,Dominos,49.03,debit,Restaurants,Credit Card
01-31-2020,Karaoke,59.12,debit,Entertainment,Credit Card
01-31-2020,Ice skating,41.02,debit,Entertainment,Credit Card
02-01-2020,Stop and Shop,223.26,debit,Grocery shopping,Credit Card
02-01-2020,Rent/ Mortgage,1400.0,debit,Mortgage & Rent,Savings
02-01-2020,Eversource Electricity,78.66,debit,Utilities,Checking
02-01-2020,National Grid Gas,76.45,debit,Utilities,Checking
02-01-2020,Heating fuel,212.19,debit,Utilities,Checking
02-01-2020,Ace Hardware,161.68,debit,Grocery shopping,Credit Card
02-01-2020,Trader Joes,187.63,debit,Grocery shopping,Credit Card
02-01-2020,Market Basket,247.09,debit,Grocery shopping,Credit Card
02-02-2020,AMC Boston,34.93,debit,Entertainment,Credit Card
02-02-2020,Trader Joes,231.02,debit,Grocery shopping,Credit Card
02-02-2020,Market Basket,202.28,debit,Grocery shopping,Credit Card
02-03-2020,Trader Joes,247.69,debit,Grocery shopping,Credit Card
02-03-2020,Ace Hardware,166.63,debit,Grocery shopping,Credit Card
02-04-2020,Ace Hardware,191.86,debit,Grocery shopping,Credit Card
02-05-2020,Lyft,22.95,debit,Travel expenses,Credit Card
02-05-2020,Ace Hardware,173.67,debit,Grocery shopping,Credit Card
02-06-2020,Stop and Shop,186.85,debit,Grocery shopping,Credit Card
02-06-2020,Karaoke,55.33,debit,Entertainment,Credit Card
02-06-2020,Amazon,49.15,debit,Shopping,Credit Card
02-06-2020,Ace Hardware,242.21,debit,Grocery shopping,Credit Card
02-07-2020,Mall,54.4,debit,Shopping,Credit Card
02-07-2020,MBTA,28.84,debit,Travel expenses,Credit Card
02-07-2020,Ace Hardware,223.49,debit,Grocery shopping,Credit Card
02-08-2020,Stop and Shop,170.17,debit,Grocery shopping,Credit Card
02-08-2020,Trader Joes,151.3,debit,Grocery shopping,Credit Card
02-09-2020,Ice skating,52.66,debit,Entertainment,Credit Card
02-09-2020,AMC Boston,59.98,debit,Entertainment,Credit Card
02-09-2020,Temu,23.3,debit,Shopping,Credit Card
02-09-2020,Stop and Shop,223.26,debit,Grocery shopping,Credit Card
02-10-2020,Boston Shawarma,53.24,debit,Restaurants,Credit Card
02-10-2020,Karaoke,53.32,debit,Entertainment,Credit Card
02-11-2020,Trader Joes,210.72,debit,Grocery shopping,Credit Card
02-12-2020,Amazon,64.26,debit,Shopping,Credit Card
02-13-2020,Mama-cita,56.22,debit,Restaurants,Credit Card
02-13-2020,Ice skating,49.03,debit,Entertainment,Credit Card
02-13-2020,Karaoke,24.94,debit,Entertainment,Credit Card
02-13-2020,Market Basket,222.03,debit,Grocery shopping,Credit Card
02-13-2020,Monthly direct deposit - Salary,6000.0,credit,Salary,Savings
02-13-2020,Ace Hardware,194.07,debit,Grocery shopping,Credit Card
02-13-2020,MBTA,22.77,debit,Travel expenses,Credit Card
02-13-2020,Trader Joes,205.07,debit,Grocery shopping,Credit Card
02-13-2020,StandUp show,36.63,debit,Entertainment,Credit Card
