Date,Description,Amount,Transaction Type,Category,Account Name
01-01-2020,Trader Joes,216.99,debit,Grocery shopping,Credit Card
01-01-2020,Lyft,19.82,debit,Travel expenses,Credit Card
01-01-2020,Dominos,70.27,debit,Restaurants,Credit Card
01-01-2020,Heating fuel,210.35,debit,Utilities,Checking
01-01-2020,Boston Halal,37.02,debit,Restaurants,Credit Card
01-01-2020,Eversource Electricity,74.62,debit,Utilities,Checking
01-01-2020,Rent/ Mortgage,1400.0,debit,Mortgage & Rent,Savings
01-01-2020,National Grid Gas,54.56,debit,Utilities,Checking
01-02-2020,Mama-cita,49.16,debit,Restaurants,Credit Card
01-02-2020,Ace Hardware,239.22,debit,Grocery shopping,Credit Card
01-02-2020,Temu,36.22,debit,Shopping,Credit Card
01-03-2020,AMC Boston,50.79,debit,Entertainment,Credit Card
01-03-2020,Boston Halal,26.08,debit,Restaurants,Credit Card
01-03-2020,Boston Shawarma,70.57,debit,Restaurants,Credit Card
01-05-2020,Karaoke,61.17,debit,Entertainment,Credit Card
01-06-2020,Boston Halal,56.28,debit,Restaurants,Credit Card
01-06-2020,AMC Boston,25.64,debit,Entertainment,Credit Card
01-07-2020,Market Basket,156.58,debit,Grocery shopping,Credit Card
01-07-2020,Trader Joes,234.84,debit,Grocery shopping,Credit Card
01-07-2020,Credit Transaction,10.29,credit,Cashback Rewards,Savings
01-07-2020,Ace Hardware,169.17,debit,Grocery shopping,Credit Card
01-08-2020,Amazon,45.21,debit,Shopping,Credit Card
01-08-2020,Boston Halal,58.13,debit,Restaurants,Credit Card
01-08-2020,Dominos,38.1,debit,Restaurants,Credit Card
01-09-2020,Amazon,69.76,debit,Shopping,Credit Card
01-09-2020,AMC Boston,29.93,debit,Entertainment,Credit Card
01-10-2020,Credit Transaction,74.74,credit,Dividends,Savings
01-10-2020,Amazon,64.25,debit,Shopping,Credit Card
01-10-2020,Temu,40.41,debit,Shopping,Credit Card
01-10-2020,Karaoke,34.14,debit,Entertainment,Credit Card
01-11-2020,Boston Shawarma,63.11,debit,Restaurants,Credit Card
01-11-2020,Boston Halal,56.12,debit,Restaurants,Credit Card
01-12-2020,Boston Halal,76.01,debit,Restaurants,Credit Card
01-12-2020,Boston Shawarma,58.08,debit,Restaurants,Credit Card
01-12-2020,Mall,78.44,debit,Shopping,Credit Card
01-12-2020,Market Basket,224.41,debit,Grocery shopping,Credit Card
01-12-2020,Uber,21.02,debit,Travel expenses,Credit Card
01-13-2020,Lyft,19.85,debit,Travel expenses,Credit Card
01-13-2020,Boston Shawarma,45.15,debit,Restaurants,Credit Card
01-13-2020,Amazon,31.5,debit,Shopping,Credit Card
01-13-2020,Monthly direct deposit - Salary,6000.0,credit,Salary,Savings
01-13-2020,Dominos,71.06,debit,Restaurants,Credit Card
01-13-2020,MBTA,24.58,debit,Travel expenses,Credit Card
01-14-2020,Temu,56.96,debit,Shopping,Credit Card
01-16-2020,Dominos,55.27,debit,Restaurants,Credit Card
01-17-2020,Ace Hardware,159.0,debit,Grocery shopping,Credit Card
01-17-2020,Uber,28.33,debit,Travel expenses,Credit Card
01-17-2020,StandUp show,59.19,debit,Entertainment,Credit Card
01-18-2020,Temu,71.09,debit,Shopping,Credit Card
01-18-2020,Mall,45.66,debit,Shopping,Credit Card
01-18-2020,Credit Transaction,70.68,credit,Dividends,Savings
01-19-2020,Temu,40.8,debit,Shopping,Credit Card
01-20-2020,Dominos,76.72,debit,Restaurants,Credit Card
01-20-2020,Karaoke,25.41,debit,Entertainment,Credit Card
01-21-2020,Dominos,67.54,debit,Restaurants,Credit Card
