Date,Description,Amount,Transaction Type,Category,Account Name
01-01-2020,Uber,20.42,debit,Travel expenses,Credit Card
01-01-2020,Rent/ Mortgage,1400,debit,Mortgage & Rent,Savings
01-01-2020,Eversource Electricity,75.89,debit,Utilities,Checking
01-01-2020,National Grid Gas,78.48,debit,Utilities,Checking
01-01-2020,Heating fuel,198.84,debit,Utilities,Checking
01-01-2020,Amazon,47.4,debit,Shopping,Credit Card
01-01-2020,Dominos,79.22,debit,Restaurants,Credit Card
01-01-2020,Temu,60.11,debit,Shopping,Credit Card
01-01-2020,Mama-cita,34.4,debit,Restaurants,Credit Card
01-01-2020,Boston Halal,64.25,debit,Restaurants,Credit Card
01-02-2020,Trader Joes,162.53,debit,Grocery shopping,Credit Card
01-02-2020,Amazon,79.02,debit,Shopping,Credit Card
01-02-2020,Lyft,14.22,debit,Travel expenses,Credit Card
01-03-2020,Mama-cita,57.28,debit,Restaurants,Credit Card
01-03-2020,Ace Hardware,207.82,debit,Grocery shopping,Credit Card
01-03-2020,Boston Halal,31.07,debit,Restaurants,Credit Card
01-03-2020,Stop and Shop,246.08,debit,Grocery shopping,Credit Card
01-03-2020,Trader Joes,153.34,debit,Grocery shopping,Credit Card
01-03-2020,Dominos,38.38,debit,Restaurants,Credit Card
01-03-2020,Boston Shawarma,66.39,debit,Restaurants,Credit Card
01-04-2020,Trader Joes,239.46,debit,Grocery shopping,Credit Card
01-04-2020,Stop and Shop,217.03,debit,Grocery shopping,Credit Card
01-04-2020,Lyft,12.63,debit,Travel expenses,Credit Card
01-04-2020,Temu,23.92,debit,Shopping,Credit Card
01-04-2020,MBTA,11.1,debit,Travel expenses,Credit Card
01-04-2020,Boston Shawarma,33.01,debit,Restaurants,Credit Card
01-05-2020,Ace Hardware,182.29,debit,Grocery shopping,Credit Card
01-05-2020,Temu,40.13,debit,Shopping,Credit Card
01-05-2020,Mama-cita,75.65,debit,Restaurants,Credit Card
01-05-2020,Trader Joes,228,debit,Grocery shopping,Credit Card
01-05-2020,Stop and Shop,246.97,debit,Grocery shopping,Credit Card
01-06-2020,Boston Halal,36.76,debit,Restaurants,Credit Card
01-07-2020,Trader Joes,214.32,debit,Grocery shopping,Credit Card
01-07-2020,Ace Hardware,199.91,debit,Grocery shopping,Credit Card
01-08-2020,MBTA,23.54,debit,Travel expenses,Credit Card
01-08-2020,Lyft,29.22,debit,Travel expenses,Credit Card
01-08-2020,Uber,22.01,debit,Travel expenses,Credit Card
01-10-2020,Boston Halal,55.89,debit,Restaurants,Credit Card
01-10-2020,Mall,62.39,debit,Shopping,Credit Card
01-10-2020,Trader Joes,220.72,debit,Grocery shopping,Credit Card
